species_name	surface_name	formation_energy	frequencies	reference
CHC_s	Fe	2.45	[3222.1,1510.4,842.1,719.7,498.9,357.1,298.2,268.4,165.3]	ACS Catal. 2021, 11, 23, 14545–14560
CHC_s	Pt	2.79	[3222.1,1510.4,842.1,719.7,498.9,357.1,298.2,268.4,165.3]	ACS Catal. 2021, 11, 23, 14545–14560
CHC_s	Pd	3.13	[3222.1,1510.4,842.1,719.7,498.9,357.1,298.2,268.4,165.3]	ACS Catal. 2021, 11, 23, 14545–14560
CHC_s	Ru	2.51	[3222.1,1510.4,842.1,719.7,498.9,357.1,298.2,268.4,165.3]	ACS Catal. 2021, 11, 23, 14545–14560
CHC_s	Rh	2.58	[3222.1,1510.4,842.1,719.7,498.9,357.1,298.2,268.4,165.3]	ACS Catal. 2021, 11, 23, 14545–14560
CHC_s	Ni	3.33	[3222.1,1510.4,842.1,719.7,498.9,357.1,298.2,268.4,165.3]	ACS Catal. 2021, 11, 23, 14545–14560
CHC_s	Cu	4.59	[3222.1,1510.4,842.1,719.7,498.9,357.1,298.2,268.4,165.3]	ACS Catal. 2021, 11, 23, 14545–14560
CH3_s	Co	0.77	[3103.7,3101.8,2996.1,1428.8,1427.5,1204.2,787.7,786.8,508.0,127.3,125.5,125.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3_s	Fe	0.48	[3103.7,3101.8,2996.1,1428.8,1427.5,1204.2,787.7,786.8,508.0,127.3,125.5,125.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3_s	Pt	0.61	[3103.7,3101.8,2996.1,1428.8,1427.5,1204.2,787.7,786.8,508.0,127.3,125.5,125.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3_s	Pd	0.73	[3103.7,3101.8,2996.1,1428.8,1427.5,1204.2,787.7,786.8,508.0,127.3,125.5,125.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3_s	Ru	0.5	[3103.7,3101.8,2996.1,1428.8,1427.5,1204.2,787.7,786.8,508.0,127.3,125.5,125.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3_s	Rh	0.53	[3103.7,3101.8,2996.1,1428.8,1427.5,1204.2,787.7,786.8,508.0,127.3,125.5,125.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3_s	Ni	0.8	[3103.7,3101.8,2996.1,1428.8,1427.5,1204.2,787.7,786.8,508.0,127.3,125.5,125.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3_s	Cu	1.25	[3103.7,3101.8,2996.1,1428.8,1427.5,1204.2,787.7,786.8,508.0,127.3,125.5,125.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH2_s	Co	1.59	[3080.1,2990.9,1372.2,902.7,730.3,679.6,579.2,402.0,183.5]	ACS Catal. 2021, 11, 23, 14545–14560
CH2_s	Fe	1.06	[3080.1,2990.9,1372.2,902.7,730.3,679.6,579.2,402.0,183.5]	ACS Catal. 2021, 11, 23, 14545–14560
CH2_s	Pt	1.29	[3080.1,2990.9,1372.2,902.7,730.3,679.6,579.2,402.0,183.5]	ACS Catal. 2021, 11, 23, 14545–14560
CH2_s	Pd	1.51	[3080.1,2990.9,1372.2,902.7,730.3,679.6,579.2,402.0,183.5]	ACS Catal. 2021, 11, 23, 14545–14560
CH2_s	Ru	1.1	[3080.1,2990.9,1372.2,902.7,730.3,679.6,579.2,402.0,183.5]	ACS Catal. 2021, 11, 23, 14545–14560
CH2_s	Rh	1.15	[3080.1,2990.9,1372.2,902.7,730.3,679.6,579.2,402.0,183.5]	ACS Catal. 2021, 11, 23, 14545–14560
CH2_s	Ni	1.64	[3080.1,2990.9,1372.2,902.7,730.3,679.6,579.2,402.0,183.5]	ACS Catal. 2021, 11, 23, 14545–14560
CH2_s	Cu	2.49	[3080.1,2990.9,1372.2,902.7,730.3,679.6,579.2,402.0,183.5]	ACS Catal. 2021, 11, 23, 14545–14560
CH_s	Co	1.62	[3045.7,804.2,800.7,609.2,485.6,484.2]	ACS Catal. 2021, 11, 23, 14545–14560
CH_s	Fe	0.92	[3045.7,804.2,800.7,609.2,485.6,484.2]	ACS Catal. 2021, 11, 23, 14545–14560
CH_s	Pt	1.22	[3045.7,804.2,800.7,609.2,485.6,484.2]	ACS Catal. 2021, 11, 23, 14545–14560
CH_s	Pd	1.52	[3045.7,804.2,800.7,609.2,485.6,484.2]	ACS Catal. 2021, 11, 23, 14545–14560
CH_s	Ru	0.97	[3045.7,804.2,800.7,609.2,485.6,484.2]	ACS Catal. 2021, 11, 23, 14545–14560
CH_s	Rh	1.03	[3045.7,804.2,800.7,609.2,485.6,484.2]	ACS Catal. 2021, 11, 23, 14545–14560
CH_s	Ni	1.7	[3045.7,804.2,800.7,609.2,485.6,484.2]	ACS Catal. 2021, 11, 23, 14545–14560
CH_s	Cu	2.88	[3045.7,804.2,800.7,609.2,485.6,484.2]	ACS Catal. 2021, 11, 23, 14545–14560
CO_s	Co	1.49	[2015.0,493.0,371.2,370.9,134.4,131.3]	ACS Catal. 2021, 11, 23, 14545–14560
CO_s	Fe	1.24	[2015.0,493.0,371.2,370.9,134.4,131.3]	ACS Catal. 2021, 11, 23, 14545–14560
CO_s	Pt	1.35	[2015.0,493.0,371.2,370.9,134.4,131.3]	ACS Catal. 2021, 11, 23, 14545–14560
CO_s	Pd	1.45	[2015.0,493.0,371.2,370.9,134.4,131.3]	ACS Catal. 2021, 11, 23, 14545–14560
CO_s	Ru	1.26	[2015.0,493.0,371.2,370.9,134.4,131.3]	ACS Catal. 2021, 11, 23, 14545–14560
CO_s	Rh	1.28	[2015.0,493.0,371.2,370.9,134.4,131.3]	ACS Catal. 2021, 11, 23, 14545–14560
CO_s	Ni	1.51	[2015.0,493.0,371.2,370.9,134.4,131.3]	ACS Catal. 2021, 11, 23, 14545–14560
CO_s	Cu	1.88	[2015.0,493.0,371.2,370.9,134.4,131.3]	ACS Catal. 2021, 11, 23, 14545–14560
H2O_s	Co	-0.4	[3896.7,3767.0,1546.9,464.9,444.5,149.2,126.2,126.1,124.0]	ACS Catal. 2021, 11, 23, 14545–14560
H2O_s	Fe	-0.46	[3896.7,3767.0,1546.9,464.9,444.5,149.2,126.2,126.1,124.0]	ACS Catal. 2021, 11, 23, 14545–14560
H2O_s	Pt	-0.24	[3896.7,3767.0,1546.9,464.9,444.5,149.2,126.2,126.1,124.0]	ACS Catal. 2021, 11, 23, 14545–14560
H2O_s	Pd	-0.25	[3896.7,3767.0,1546.9,464.9,444.5,149.2,126.2,126.1,124.0]	ACS Catal. 2021, 11, 23, 14545–14560
H2O_s	Ru	-0.38	[3896.7,3767.0,1546.9,464.9,444.5,149.2,126.2,126.1,124.0]	ACS Catal. 2021, 11, 23, 14545–14560
H2O_s	Rh	-0.35	[3896.7,3767.0,1546.9,464.9,444.5,149.2,126.2,126.1,124.0]	ACS Catal. 2021, 11, 23, 14545–14560
H2O_s	Ni	-0.37	[3896.7,3767.0,1546.9,464.9,444.5,149.2,126.2,126.1,124.0]	ACS Catal. 2021, 11, 23, 14545–14560
H2O_s	Cu	-0.28	[3896.7,3767.0,1546.9,464.9,444.5,149.2,126.2,126.1,124.0]	ACS Catal. 2021, 11, 23, 14545–14560
